id,package,NC,A,I,D
287,org.apache.hadoop.yarn.server.webapp.dao,7,0.00,0.29,0.71
288,org.apache.hadoop.yarn.server.webproxy,7,0.00,0.47,0.53
289,org.apache.hadoop.classification.tools,6,0.00,1.00,0.00
290,org.apache.hadoop.examples.pi.math,6,0.00,0.30,0.70
291,org.apache.hadoop.fs.azure.metrics,6,0.00,0.67,0.33
292,org.apache.hadoop.fs.azurebfs,6,0.00,0.67,0.33
293,org.apache.hadoop.fs.azurebfs.constants,6,0.00,0.29,0.71
294,org.apache.hadoop.fs.azurebfs.diagnostics,6,0.00,0.86,0.14
295,org.apache.hadoop.ha.protocolPB,6,0.33,0.60,0.07
296,org.apache.hadoop.hdds.scm.container.replication,6,0.17,0.44,0.39
297,org.apache.hadoop.hdfs.qjournal.protocolPB,6,0.33,0.67,0.00
298,org.apache.hadoop.hdfs.server.datanode.metrics,6,0.17,0.43,0.40
299,org.apache.hadoop.hdfs.server.diskbalancer.planner,6,0.33,0.50,0.17
300,org.apache.hadoop.io.compress.zlib,6,0.00,0.55,0.45
301,org.apache.hadoop.ipc.protocolPB,6,0.33,0.60,0.07
302,org.apache.hadoop.mapreduce.v2.app.job,6,0.50,0.07,0.43
303,org.apache.hadoop.nfs.nfs3,6,0.33,0.06,0.60
304,org.apache.hadoop.ozone,6,0.00,0.05,0.95
305,org.apache.hadoop.ozone.client.rest.response,6,0.00,0.45,0.55
306,org.apache.hadoop.ozone.container.common.helpers,6,0.00,0.23,0.77
307,org.apache.hadoop.ozone.container.common.statemachine,6,0.33,0.20,0.47
308,org.apache.hadoop.ozone.container.common.volume,6,0.00,0.25,0.75
309,org.apache.hadoop.ozone.web.interfaces,6,1.00,0.29,0.29
310,org.apache.hadoop.ozone.web.ozShell.keys,6,0.00,0.86,0.14
311,org.apache.hadoop.ozone.web.ozShell.volume,6,0.00,0.86,0.14
312,org.apache.hadoop.registry.client.api,6,0.67,0.22,0.11
313,org.apache.hadoop.security.authentication.client,6,0.33,0.05,0.61
314,org.apache.hadoop.security.protocolPB,6,0.33,0.55,0.12
315,org.apache.hadoop.util.concurrent,6,0.17,0.00,0.83
316,org.apache.hadoop.yarn.applications.distributedshell,6,0.00,0.86,0.14
317,org.apache.hadoop.yarn.event,6,0.67,0.05,0.29
318,org.apache.hadoop.yarn.server.api.impl.pb.client,6,0.00,1.00,0.00
319,org.apache.hadoop.yarn.server.api.impl.pb.service,6,0.00,1.00,0.00
320,org.apache.hadoop.yarn.server.api.records.impl.pb,6,0.00,0.50,0.50
321,org.apache.hadoop.yarn.server.applicationhistoryservice.records.impl.pb,6,0.00,0.86,0.14
322,org.apache.hadoop.yarn.server.federation.policies,6,0.33,0.24,0.43
323,org.apache.hadoop.yarn.server.federation.policies.amrmproxy,6,0.33,0.38,0.29
324,org.apache.hadoop.yarn.server.nodemanager.containermanager,6,0.17,0.25,0.58
325,org.apache.hadoop.yarn.server.nodemanager.containermanager.loghandler.event,6,0.00,0.40,0.60
326,org.apache.hadoop.yarn.server.nodemanager.containermanager.scheduler,6,0.17,0.71,0.12
327,org.apache.hadoop.yarn.server.nodemanager.util,6,0.17,0.43,0.40
328,org.apache.hadoop.yarn.server.resourcemanager.metrics,6,0.33,0.60,0.07
329,org.apache.hadoop.yarn.server.timelineservice.storage.apptoflow,6,0.00,0.67,0.33
330,org.apache.hadoop.yarn.submarine.client.cli,6,0.17,0.56,0.28
331,org.apache.hadoop.crypto.key.kms,5,0.00,0.45,0.55
332,org.apache.hadoop.examples.dancing,5,0.00,0.50,0.50
333,org.apache.hadoop.fs.ftp,5,0.00,1.00,0.00
334,org.apache.hadoop.fs.ozone,5,0.00,1.00,0.00
